variant,algo,sharpe,sharpe_sd,ann_turnover,max_drawdown,cagr,n
turnover_lam0.000,DQN,-0.04469498509575009,0.7357690128356821,165.01968701511413,-0.22677190396776925,-0.038862504241686295,18
turnover_lam0.000,PPO,-0.27319750995249426,0.80411158817681,182.69625837634462,-0.24222900425638205,-0.0738001785744365,18
turnover_lam0.000,static_60_30_10,0.7007137182789672,0.0,2.11218865092353,-0.15545719998337318,0.04093384668987945,6
turnover_lam0.002,DQN,0.4657847811861447,1.0712737820080922,113.8397962403399,-0.20583180469964094,0.07768280756721108,18
turnover_lam0.002,PPO,0.1324258307103594,0.9631403594373777,130.39486869419727,-0.2279923637260431,-0.005005954239023885,18
turnover_lam0.002,static_60_30_10,0.7007137182789672,0.0,2.11218865092353,-0.15545719998337318,0.04093384668987945,6
turnover_lam0.005,DQN,0.6153756745716463,0.5895356593986875,63.24668577354544,-0.1792849896208316,0.10838524545201941,18
turnover_lam0.005,PPO,0.03777154186298469,0.8084250945314222,81.68218818341482,-0.22717857350780257,-0.027307877120602876,18
turnover_lam0.005,static_60_30_10,0.7007137182789672,0.0,2.11218865092353,-0.15545719998337318,0.04093384668987945,6
turnover_lam0.020,DQN,0.798697875795431,0.8079142568213735,17.041182405804506,-0.1929449397144218,0.1042277517181664,18
turnover_lam0.020,PPO,0.3699912671023329,0.7702525571838215,63.814692715366405,-0.18503048121180668,0.03990872485949785,18
turnover_lam0.020,static_60_30_10,0.7007137182789672,0.0,2.11218865092353,-0.15545719998337318,0.04093384668987945,6
turnover_lam0.050,DQN,1.0115086646105882,1.198312018455431,10.069192416809267,-0.20467817774281638,0.14562226169975442,18
turnover_lam0.050,PPO,0.36166557160532475,0.5450156331328774,49.78374691787322,-0.19404136389790852,0.03580712180641934,18
turnover_lam0.050,static_60_30_10,0.7007137182789672,0.0,2.11218865092353,-0.15545719998337318,0.04093384668987945,6
turnover_lam0.100,DQN,0.45354145473416885,1.0060013188094399,6.106888329876247,-0.20776217321528806,0.03570929589224845,18
turnover_lam0.100,PPO,0.32147158402785686,0.6218249596550744,48.12172021256493,-0.18237151465132398,0.06381724685407478,18
turnover_lam0.100,static_60_30_10,0.7007137182789672,0.0,2.11218865092353,-0.15545719998337318,0.04093384668987945,6
