variant,algo,sharpe,sharpe_sd,ann_turnover,max_drawdown,cagr,n
cost_0bps,DQN,0.6808757667650736,0.9963207408226269,188.4462121683879,-0.19740888910486196,0.10744234032860642,18
cost_0bps,PPO,0.27848839212191534,0.8789831666327637,220.27636699848327,-0.18684502104049874,0.020160165389651107,18
cost_0bps,static_60_30_10,0.7076977187336597,0.0,2.11218865092353,-0.15513540030690745,0.04199912755293315,6
cost_5bps,DQN,-0.04469498509575009,0.7357690128356821,165.01968701511413,-0.22677190396776925,-0.038862504241686295,18
cost_5bps,PPO,-0.27319750995249426,0.80411158817681,182.69625837634462,-0.24222900425638205,-0.0738001785744365,18
cost_5bps,static_60_30_10,0.7007137182789672,0.0,2.11218865092353,-0.15545719998337318,0.04093384668987945,6
cost_20bps,DQN,-0.9670193885082359,0.9672810545330807,125.7026417783413,-0.31193535406005946,-0.1426551506955013,18
cost_20bps,PPO,-1.3641178057279388,1.0816077771985686,142.97187614303158,-0.3594244515845012,-0.1798928054169769,18
cost_20bps,static_60_30_10,0.6797410682297231,0.0,2.11218865092353,-0.1564206913634279,0.03774629704616029,6
cost_50bps,DQN,-1.356543108646144,0.6272335521181637,67.90932182072567,-0.3721503313029839,-0.24147864281245587,18
cost_50bps,PPO,-2.0794949479419613,0.9381548638506321,83.1946528905047,-0.4261915518034047,-0.27111615150024443,18
cost_50bps,static_60_30_10,0.6377098906450519,0.0,2.11218865092353,-0.15833912962152932,0.03140831870126912,6
