strategy,period,n_seeds,in_sample,cagr_mean,cagr_ci_lo,cagr_ci_hi,ann_vol_mean,ann_vol_ci_lo,ann_vol_ci_hi,sharpe_mean,sharpe_ci_lo,sharpe_ci_hi,sortino_mean,sortino_ci_lo,sortino_ci_hi,max_drawdown_mean,max_drawdown_ci_lo,max_drawdown_ci_hi,calmar_mean,calmar_ci_lo,calmar_ci_hi,cvar_95_mean,cvar_95_ci_lo,cvar_95_ci_hi,ann_turnover_mean,ann_turnover_ci_lo,ann_turnover_ci_hi
DQN,calm_2023_24,5,False,0.06014640092324965,-0.034774418344535964,0.15506722019103528,0.11403041638225608,0.11078503606028309,0.11727579670422908,0.5530356706193312,-0.21114567657841754,1.3172170178170801,0.906146202959768,-0.41431762450077647,2.2266100304203125,-0.13716430992880438,-0.18697060370961463,-0.08735801614799413,0.6390941952132365,-0.5792233622653471,1.8574117526918201,0.01516818637294023,0.013811554356659357,0.0165248183892211,173.45108501921385,154.4993024227807,192.402867615647
DQN,covid_crash,5,False,-0.14277473632500465,-0.2957570654954377,0.010207592845428354,0.36669508194368694,0.3325220503537147,0.4008681135336592,-0.260370791522547,-0.7493727483294057,0.22863116528431177,-0.2476818167203944,-0.722256764483711,0.22689313104292214,-0.2457802404792396,-0.2893824223447522,-0.202178058613727,-0.6014407130117618,-1.2099744325265722,0.007093006503048671,0.06280502047787664,0.057065741583758274,0.06854429937199502,164.15454804595407,96.69625563926841,231.61284045263972
DQN,gfc,5,False,-0.09484426231331596,-0.26399075868424643,0.07430223405761453,0.29693997933003047,0.27524250220208235,0.3186374564579786,-0.2208051672060026,-0.8489235626492077,0.4073132282372024,-0.3115524924448378,-1.1859695931350567,0.5628646082453812,-0.3782865078338836,-0.47185105200403754,-0.2847219636637297,-0.18814693822033246,-0.6963362366343953,0.32004236019373034,0.04408581448682955,0.04097612941907763,0.04719549955458147,189.14464578708225,179.49853995025654,198.79075162390797
DQN,inflation_2022,5,False,-0.16913509750338765,-0.2588943253350068,-0.0793758696717685,0.19492672699343175,0.16901326659930796,0.22084018738755554,-0.8738711186584032,-1.411521990542702,-0.3362202467741041,-1.3655507822527249,-2.125506288502821,-0.605595276002629,-0.22466347063570202,-0.27297777324983824,-0.17634916802156583,-0.7314020717661667,-0.9827564787360287,-0.4800476647963047,0.027978291684147054,0.023205096836770953,0.032751486531523155,165.1357635743935,128.76552595717592,201.5060011916111
DQN,recovery_2020_21,5,False,0.08971579517400671,0.027820827478999895,0.15161076286901354,0.11569840857684535,0.10974489375100713,0.12165192340268358,0.7956514621166308,0.2876078827358478,1.3036950414974138,1.0954262078128543,0.30987418463411787,1.8809782309915906,-0.09464404267356159,-0.10984805401055524,-0.07944003133656795,0.9994610197122371,0.22011251364684492,1.7788095257776293,0.017490869131229318,0.015541500361166569,0.019440237901292068,176.43202355020486,148.69253552875358,204.17151157165614
DQN,val,5,False,-0.015806574258724206,-0.05466046632849406,0.023047317811045652,0.10537107196392906,0.10113898273718237,0.10960316119067574,-0.10549171924669894,-0.48706853165985065,0.2760850931664528,-0.1313006738459201,-0.6187826559111791,0.35618130821933885,-0.23751361723514447,-0.339955480764664,-0.135071753705625,-0.04237440194471451,-0.19446052692560614,0.10971172303617713,0.016836216660415286,0.015845195498978063,0.01782723782185251,168.21235842664802,149.3094889225364,187.11522793075966
PPO,calm_2023_24,5,False,0.05352650909879286,-0.012009794752444528,0.11906281295003025,0.11196460802794057,0.10743837656282061,0.11649083949306054,0.5138310161979597,-0.0341216678039068,1.0617837001998263,0.8144636468113596,-0.09507248655352807,1.7239997801762472,-0.13500383670822072,-0.17598511360127417,-0.09402255981516727,0.42766999727211275,-0.11944988873631857,0.9747898832805441,0.01502009021721647,0.014201535316581282,0.01583864511785166,193.87964319406302,167.10741545495424,220.6518709331718
PPO,covid_crash,5,False,-0.011992267123550105,-0.26641952243053907,0.24243498818343884,0.3737804558632733,0.3275199897850933,0.4200409219414533,0.125864254935608,-0.6025866191143971,0.854315128985613,0.1877795434730704,-0.6539084565404754,1.0294675434866163,-0.2515588578283318,-0.3426234202400713,-0.16049429541659235,0.09260890999879956,-0.7967315967190071,0.9819494167166062,0.05646816537675059,0.04353608220628673,0.06940024854721445,185.41352313564903,146.82921334150763,223.99783292979043
PPO,gfc,5,False,-0.09958741881139092,-0.21929457692467286,0.020119739301890996,0.2834400382754447,0.2439294180672716,0.32295065848361776,-0.21967530687078396,-0.6635182722543098,0.22416765851274184,-0.27457245998101587,-0.8572751208884278,0.3081302009263961,-0.38015019070171807,-0.49398323586269144,-0.2663171455407447,-0.24076085657367896,-0.5094958082671639,0.02797409511980603,0.04230931991145993,0.03472446875455289,0.04989417106836698,204.56507266469285,195.07600603672802,214.05413929265768
PPO,inflation_2022,5,False,-0.1788806121501747,-0.3283092049726702,-0.029452019327679213,0.16240336801050223,0.12865482019392652,0.19615191582707794,-1.2592294167797857,-2.393431495641442,-0.12502733791812948,-1.8148671043337363,-3.3694402660259564,-0.2602939426415163,-0.24000608864552161,-0.3084444303716064,-0.17156774691943683,-0.6866061760003311,-1.2164673074999786,-0.15674504450068383,0.024354943780887466,0.018188348690048477,0.030521538871726456,175.7136856385776,140.38017573102735,211.04719554612785
