strategy,period,n_seeds,cagr_mean,cagr_ci_lo,cagr_ci_hi,ann_vol_mean,ann_vol_ci_lo,ann_vol_ci_hi,sharpe_mean,sharpe_ci_lo,sharpe_ci_hi,sortino_mean,sortino_ci_lo,sortino_ci_hi,max_drawdown_mean,max_drawdown_ci_lo,max_drawdown_ci_hi,calmar_mean,calmar_ci_lo,calmar_ci_hi,cvar_95_mean,cvar_95_ci_lo,cvar_95_ci_hi,ann_turnover_mean,ann_turnover_ci_lo,ann_turnover_ci_hi
DQN,calm_2023_24,3,-0.08439359212677015,-0.21854855643361365,0.04976137218007336,0.14311154703836923,0.09996273362037722,0.18626036045636124,-0.5277543072444365,-1.3978503174539636,0.3423417029650907,-0.6078048773281063,-1.5425127694149197,0.326903014758707,-0.3028490270734199,-0.47199611750911863,-0.13370193663772115,-0.26127848334189263,-0.5729061141170699,0.050349147433284724,0.023305578843443014,0.014426140929251064,0.032185016757634966,179.66353889990566,158.91801899799853,200.4090588018128
DQN,covid_crash,3,-0.05193937117421658,-0.3842964210982047,0.2804176787497715,0.09676279975836151,0.09037111011347816,0.10315448940324486,-0.580837354719499,-4.357611597480573,3.195936888041575,-0.808909262325101,-6.183817407547226,4.5659988828970235,-0.06934233623653215,-0.1621239097021364,0.023439237229072096,-0.22886269399040524,-4.48005280222016,4.02232741423935,0.013895188467501637,0.010881369663316232,0.016909007271687045,161.7601026152618,140.18322700954698,183.3369782209766
DQN,gfc,3,1.2714381555773162,0.9532678861225278,1.5896084250321048,0.12099002498157196,0.11748344005008529,0.12449660991305864,6.845338255221119,5.5835695390413465,8.10710697140089,12.64264929121243,10.472714204058217,14.812584378366644,-0.03593297056101578,-0.04322764129132458,-0.02863829983070697,35.347981413647915,33.09808572875446,37.59787709854137,0.011724086784938878,0.010972180111397726,0.01247599345848003,230.2662215833482,228.5998757587883,231.9325674079081
DQN,inflation_2022,3,-0.06856782815277092,-0.330516021160952,0.19338036485541021,0.10639299543208985,0.1040459264737683,0.10874006439041141,-0.6496042587868885,-3.3328724147101814,2.0336638971364045,-0.8641698196219973,-4.564487428006935,2.8361477887629407,-0.1439572795431198,-0.3678796588027785,0.0799650997165389,-0.3377334223353127,-1.5503651361201913,0.8748982914495658,0.014788888107102776,0.010967606580266315,0.018610169633939237,187.68007701635028,156.13201877247644,219.22813526022412
DQN,recovery_2020_21,3,-0.2619634720068948,-0.30030061513567496,-0.22362632887811462,0.17612027142106843,0.14358581039664256,0.2086547324454943,-1.647317255000808,-2.2222805943802455,-1.0723539156213704,-2.3165145965653964,-3.225895239711775,-1.407133953419018,-0.3947121644483868,-0.48734445167684737,-0.30207987721992624,-0.6692775322632626,-0.8969964435132661,-0.44155862101325905,0.027361462924178136,0.020864000038153068,0.03385892581020321,184.89155389740355,160.80074683033286,208.98236096447425
DQN,val,3,-0.09619130643772922,-0.3327540976667921,0.14037148479133366,0.14173841588548364,0.12172547591138337,0.1617513558595839,-0.6925126411224009,-2.541765378518158,1.1567400962733565,-0.9374000109120338,-3.4909725691988354,1.616172547374768,-0.46867215751973973,-0.711340084008108,-0.22600423103137146,-0.18234937491853564,-0.6402403802256972,0.2755416303886259,0.02074074204114529,0.019795072613071705,0.021686411469218878,188.1814772746793,164.42107350928603,211.9418810400726
PPO,calm_2023_24,3,-0.06925346409299449,-0.17583246609072992,0.03732553790474094,0.1114093260990559,0.09508726163249792,0.1277313905656139,-0.6011466637330121,-1.672528811337683,0.4702354838716589,-0.8595611953304697,-2.4824203654029646,0.7632979747420253,-0.2310681387720596,-0.23793631605093252,-0.22419996149318666,-0.29831774170511016,-0.7541009751499814,0.15746549173976115,0.016332154383045347,0.011990661214866083,0.02067364755122461,209.96313905198915,131.47810088752058,288.4481772164577
PPO,covid_crash,3,-0.12720198796518226,-0.33636994549271837,0.08196596956235386,0.09768798830731996,0.06968477500226147,0.12569120161237846,-1.3260288977397727,-3.374305708535424,0.7222479130558788,-1.8224782169733613,-4.297411189524171,0.6524547555774487,-0.07869826651026542,-0.13830618162765596,-0.01909035139287489,-1.5095066219571152,-2.8326776809772154,-0.1863355629370147,0.015003689121323813,0.008267628796145291,0.021739749446502334,191.28485042182623,68.9201035412019,313.64959730245056
PPO,gfc,3,-0.052407567250319254,-0.1057767801982929,0.0009616456976543966,0.12902509993325947,0.1249574863722175,0.13309271349430146,-0.3556845692453969,-0.8053940894861515,0.09402495099535779,-0.60443039115226,-1.4696920752396805,0.2608312929351603,-0.2358290052673477,-0.29377953079522057,-0.17787847973947482,-0.21750102125719084,-0.3958647987713195,-0.039137243743062156,0.01705183043534454,0.012950102428427614,0.021153558442261463,212.85478373033126,167.23824896646994,258.4713184941926
PPO,inflation_2022,3,-0.07845506696346305,-0.17184213666620457,0.014932002739278472,0.10580264305129487,0.09633934274321229,0.11526594335937745,-0.7215635907298635,-1.639908040245682,0.19678085878595508,-1.120897063953984,-2.4721520941161623,0.2303579662081945,-0.14294241254392334,-0.22136805729108172,-0.06451676779676495,-0.5377197999227755,-1.1101667878798613,0.0347271880343103,0.013909946079410125,0.010766511408310666,0.017053380750509585,200.36299744671098,146.387040170641,254.33895472278095
